座號,德育,智育,體育,群育,美育
1,88,90,86,90,83
2,85,89,87,91,85
3,84,90,83,86,80
4,83,81,83,93,81
5,84,85,85,89,88
6,88,93,86,91,87
7,87,87,86,92,83
8,88,92,88,88,88
9,88,85,87,90,84
10,74,73,80,81,69
11,83,79,83,84,77
12,81,81,88,91,82
13,92,93,88,92,87
14,88,91,87,88,83
15,91,93,88,93,84
16,93,95,90,89,88
17,90,91,87,91,88
18,92,94,88,87,89
19,92,92,89,92,87
20,94,92,90,91,92
21,92,89,89,94,90
22,93,91,89,90,89
23,90,92,87,90,87
24,94,95,91,94,90
25,89,82,87,88,87
26,95,96,90,93,89
27,93,94,90,93,92
28,88,85,86,88,84
29,94,95,89,93,89
30,94,97,90,95,91
31,90,87,87,92,89
32,84,72,85,90,86
33,92,93,90,93,87
34,97,96,93,95,92
35,92,96,89,91,91
36,92,91,88,93,91
37,93,94,90,93,89
38,96,98,91,94,95
39,94,95,90,94,90
