ID,B101,B102,B103,B104,B105,B106,B201,B202,B203,B204,B205,B206,B301,B302,B303,B304,B305,B306,B401,B402,B403,B404,B405,B406
ST001,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3
ST002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3
ST003,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3
ST004,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ST005,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3
ST006,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3
ST007,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3
ST008,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
ST009,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2
ST010,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,3
ST011,3,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,4,4,3,4,4,4,3
ST012,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4
ST013,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
ST014,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4
ST015,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4
ST016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ST017,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,4,4,3,4,4,4,4,4,4
ST018,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,4,3,3,4,4,4,3
ST019,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,3,3,3,3,3,3
ST020,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ST021,3,3,3,3,3,3,4,3,2,3,3,4,2,2,4,4,4,4,2,2,3,3,4,3
ST022,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4
ST023,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ST024,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
ST025,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3
ST026,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4
ST027,3,3,4,3,3,4,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3
ST028,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,2
ST029,3,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4
ST030,3,2,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,4
ST031,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ST032,3,3,3,4,3,4,3,3,4,4,4,4,3,3,3,4,4,4,2,2,2,2,3,3
ST033,3,3,3,3,3,4,3,3,4,3,3,3,2,3,2,2,2,3,2,2,3,3,2,2
ST034,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3
ST035,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3
ST036,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3
ST037,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
ST038,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ST039,3,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4
ST040,3,3,4,3,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,4,4,4
ST041,3,3,3,3,3,4,3,3,3,4,3,3,2,3,4,4,4,4,3,3,3,3,4,3
ST042,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,4,4,3,4,4,4,4
ST043,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ST044,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
ST045,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
