"","低分組難度","高分組難度","分組難度","鑑別度","CR值","p值","題目總分相關","總量表信度(刪題)","題目信度"
"P01",0.583,0.867,0.725,0.283,1.626,0.121,0.197,0.854,0.09
"P02",0.583,0.733,0.658,0.15,0.79,0.438,0.111,0.856,0.053
"P03",0.5,1,0.75,0.5,3.317,0.007,0.55,0.846,0.201
"P04",0.333,0.733,0.533,0.4,2.164,0.041,0.347,0.85,0.173
"P05",0.417,0.667,0.542,0.25,1.283,0.212,0.214,0.854,0.107
"P06",0.75,0.867,0.808,0.117,0.733,0.472,0.091,0.855,0.033
"P07",0.333,0.6,0.467,0.267,1.38,0.18,0.17,0.855,0.085
"P08",0.333,0.867,0.6,0.533,3.162,0.005,0.439,0.848,0.2
"P09",0.75,1,0.875,0.25,1.915,0.082,0.264,0.852,0.084
"P10",0.333,0.533,0.433,0.2,1.026,0.315,0.11,0.856,0.055
"P11",0.167,0.467,0.317,0.3,1.721,0.098,0.288,0.851,0.125
"P12",0.333,0.933,0.633,0.6,3.822,0.002,0.407,0.849,0.186
"P13",0.417,0.867,0.642,0.45,2.583,0.018,0.278,0.852,0.129
"P14",0.75,0.933,0.842,0.183,1.251,0.228,0.229,0.852,0.073
"P15",0.333,0.667,0.5,0.333,1.755,0.092,0.261,0.852,0.13
"P16",0.833,1,0.917,0.167,1.483,0.166,0.223,0.852,0.064
"P17",0.583,0.933,0.758,0.35,2.148,0.048,0.327,0.85,0.137
"P18",0.333,0.867,0.6,0.533,3.162,0.005,0.461,0.847,0.205
"P19",0.583,1,0.792,0.417,2.803,0.017,0.482,0.848,0.153
"P20",0,0.667,0.333,0.667,5.292,0,0.491,0.846,0.219
"P21",0.417,0.933,0.675,0.517,3.171,0.006,0.374,0.849,0.171
"P22",0.417,0.933,0.675,0.517,3.171,0.006,0.54,0.846,0.226
"P23",0.667,1,0.833,0.333,2.345,0.039,0.482,0.848,0.153
"P24",0.667,1,0.833,0.333,2.345,0.039,0.322,0.851,0.111
"P25",0,0.333,0.167,0.333,2.646,0.019,0.354,0.85,0.137
"P26",0.25,0.933,0.592,0.683,4.661,0,0.434,0.848,0.213
"P27",0.5,1,0.75,0.5,3.317,0.007,0.373,0.849,0.162
"P28",0.167,0.4,0.283,0.233,1.352,0.188,0.131,0.855,0.055
"P29",0.25,0.867,0.558,0.617,3.877,0.001,0.467,0.847,0.233
"P30",0.5,0.933,0.717,0.433,2.629,0.019,0.325,0.851,0.151
"P31",0.667,0.933,0.8,0.267,1.699,0.109,0.279,0.852,0.113
"P32",0.667,1,0.833,0.333,2.345,0.039,0.339,0.85,0.147
"P33",0.5,0.933,0.717,0.433,2.629,0.019,0.364,0.85,0.158
"P34",0.167,0.6,0.383,0.433,2.512,0.019,0.299,0.851,0.144
"P35",0.833,1,0.917,0.167,1.483,0.166,0.297,0.852,0.062
"P36",0.333,0.867,0.6,0.533,3.162,0.005,0.492,0.846,0.233
"P37",0.583,1,0.792,0.417,2.803,0.017,0.436,0.849,0.138
"P38",0.667,1,0.833,0.333,2.345,0.039,0.248,0.852,0.091
"P39",0.25,1,0.625,0.75,5.745,0,0.659,0.843,0.266
"P40",0.833,1,0.917,0.167,1.483,0.166,0.349,0.851,0.073
