"","低分組平均","高分組平均","差異","鑑別度","CR值","p值","題目總分相關","題目分量表相關","總量表信度(刪題)","分量表信度(刪題)","題目信度"
"B101",3,3.821,3.411,0.821,11.345,0,0.676,0.75,0.954,0.883,0.324
"B102",3,3.929,3.464,0.929,19.073,0,0.704,0.739,0.954,0.884,0.356
"B103",3.034,3.857,3.446,0.823,10.985,0,0.629,0.745,0.955,0.883,0.314
"B104",3,3.714,3.357,0.714,8.364,0,0.572,0.713,0.955,0.888,0.293
"B105",2.966,3.893,3.429,0.927,13.598,0,0.678,0.724,0.954,0.887,0.352
"B106",3.034,3.929,3.482,0.894,14.896,0,0.639,0.728,0.955,0.886,0.319
"B201",3,3.964,3.482,0.964,27.487,0,0.705,0.754,0.954,0.858,0.351
"B202",3,3.821,3.411,0.821,11.345,0,0.646,0.693,0.955,0.868,0.318
"B203",3,3.929,3.464,0.929,13.234,0,0.655,0.74,0.955,0.86,0.35
"B204",2.897,3.821,3.359,0.925,9.93,0,0.637,0.546,0.955,0.896,0.388
"B205",2.966,3.893,3.429,0.927,13.598,0,0.747,0.738,0.954,0.86,0.387
"B206",2.966,3.964,3.465,0.999,20.125,0,0.745,0.767,0.954,0.856,0.387
"B301",2.483,3.536,3.009,1.053,6.908,0,0.663,0.666,0.955,0.88,0.463
"B302",2.862,3.857,3.36,0.995,10.621,0,0.67,0.679,0.954,0.875,0.403
"B303",2.897,3.786,3.341,0.889,9.147,0,0.637,0.656,0.955,0.878,0.359
"B304",2.897,3.857,3.377,0.961,9.437,0,0.676,0.785,0.954,0.858,0.409
"B305",2.966,3.964,3.465,0.999,20.125,0,0.756,0.805,0.954,0.857,0.407
"B306",2.931,3.857,3.394,0.926,11.27,0,0.645,0.682,0.955,0.874,0.376
"B401",2.828,3.857,3.342,1.03,10.477,0,0.692,0.772,0.954,0.884,0.427
"B402",2.69,3.857,3.273,1.167,10.528,0,0.724,0.702,0.954,0.896,0.461
"B403",2.931,3.857,3.394,0.926,11.27,0,0.663,0.752,0.954,0.888,0.359
"B404",2.897,3.821,3.359,0.925,9.93,0,0.697,0.744,0.954,0.889,0.405
"B405",2.931,3.893,3.412,0.962,12.635,0,0.672,0.731,0.954,0.891,0.365
"B406",2.828,3.893,3.36,1.065,11.421,0,0.731,0.754,0.954,0.887,0.435
