ID,GENDER,JOB,A0101,A0102,A0103,A0104,A0105,A0106,A0201,A0202,A0203,A0204,A0205,A0206,A0301,A0302,A0303,A0304,A0401,A0402,A0403
A0101,2,2,3,3,4,3,4,3,4,3,4,3,3,4,3,3,4,3,3,3,4
A0103,2,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3
A0107,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
A0108,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4
A0112,1,2,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,4
A0202,1,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4
A0204,2,2,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,2,3
A0205,2,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4
A0208,1,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
A0209,2,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,3,4,4,4,4
A0302,2,4,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
A0303,2,4,3,3,3,2,4,2,3,3,3,3,3,3,4,4,4,4,2,2,3
A0310,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
A0311,2,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3
A0312,2,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3
B0101,1,4,3,3,3,3,3,3,4,4,4,4,3,3,2,2,1,2,3,1,2
B0104,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3
B0105,2,4,3,3,4,3,3,3,4,4,4,4,3,3,4,3,3,4,3,3,3
B0107,1,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0202,1,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4
B0204,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0205,2,4,3,3,3,2,2,2,4,4,4,3,3,3,3,3,3,3,2,2,2
B0206,2,4,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2
B0207,2,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
B0211,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0213,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,2
B0301,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0302,1,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0304,2,4,3,3,4,3,3,3,4,4,4,4,3,4,4,4,3,3,3,2,4
B0403,2,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3
B0405,2,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3
