ID,GROUP,GENDER,APRE,APOST,BPRE,BPOST
A21101,0,1,21,25,40,39
A21102,0,1,16,22,21,23
A21104,0,1,25,27,21,39
A21105,0,1,30,31,46,46
A21106,0,1,18,30,34,43
A21107,0,1,24,21,28,36
A21108,0,1,13,24,30,38
A21109,0,1,21,15,35,28
A21110,0,1,28,30,46,38
A21111,0,1,32,30,46,39
A21112,0,1,20,26,31,41
A21113,0,1,22,32,43,45
A21114,0,1,20,23,37,33
A23112,1,1,25,26,42,43
A23113,1,1,27,32,44,46
A23114,1,1,18,31,38,45
A23215,1,1,16,30,33,40
A23216,1,1,20,26,35,44
A23217,1,1,20,31,41,44
A23218,1,1,25,27,46,46
A23219,1,1,31,31,44,46
A23220,1,1,32,32,42,46
A23221,1,1,23,32,42,46
A23222,1,1,25,30,44,46
A23223,1,1,24,26,41,41
A23224,1,1,25,29,36,42
A23225,1,1,24,27,44,40
A23226,1,1,26,25,41,40
A21215,0,2,26,24,44,34
A21216,0,2,20,24,34,38
A21217,0,2,20,32,34,46
A21219,0,2,19,22,45,44
A21220,0,2,31,32,46,46
A21221,0,2,22,22,35,42
A21222,0,2,31,30,45,46
A21223,0,2,16,17,32,23
A21224,0,2,18,20,30,28
A21225,0,2,30,23,43,45
A21226,0,2,18,20,25,34
A23201,1,2,19,31,34,45
A23202,1,2,31,32,44,45
A23203,1,2,15,28,19,34
A23204,1,2,28,32,42,45
A23206,1,2,32,32,42,46
A23207,1,2,30,31,44,46
A23208,1,2,21,30,41,42
A23209,1,2,17,27,30,44
A23210,1,2,24,30,42,46
A23211,1,2,26,30,34,42
